word	label	count
рио	unclassified_short	12
соя	unclassified_short	12
ұру	unclassified_short	12
уһ	expressive_interjection	12
маи	unclassified_short	12
фин	unclassified_short	12
тұқ	unclassified_short	12
ебі	unclassified_short	12
жэс	unclassified_short	12
сқ	unclassified_short	12
иді	unclassified_short	12
ява	unclassified_short	12
ман	unclassified_short	12
обь	unclassified_short	12
көн	unclassified_short	12
ші	unclassified_short	12
бэк	unclassified_short	12
ұқ	unclassified_short	12
ояз	unclassified_short	12
кп	unclassified_short	12
шиқ	unclassified_short	12
еге	unclassified_short	12
ұқк	unclassified_short	12
бтр	unclassified_short	12
сул	unclassified_short	12
қб	unclassified_short	11
ст	unclassified_short	11
ып	unclassified_short	11
һ	unclassified_short	11
днқ	unclassified_short	11
ва	unclassified_short	11
з	unclassified_short	11
жсн	unclassified_short	11
өл	unclassified_short	11
уаң	unclassified_short	11
ғо	unclassified_short	11
ска	unclassified_short	11
ео	unclassified_short	11
қаж	unclassified_short	11
гәп	unclassified_short	11
бжт	unclassified_short	11
ник	unclassified_short	11
ноу	unclassified_short	11
шая	unclassified_short	11
ген	unclassified_short	11
луи	unclassified_short	11
тжк	unclassified_short	11
са	unclassified_short	11
ың	unclassified_short	11
ули	unclassified_short	11
ч	unclassified_short	11
тв	unclassified_short	11
ағы	unclassified_short	11
ін	unclassified_short	11
сі	unclassified_short	11
уаз	unclassified_short	11
ұр	unclassified_short	11
шеп	unclassified_short	11
гдр	unclassified_short	11
мық	unclassified_short	11
чан	unclassified_short	11
тыр	unclassified_short	11
мим	unclassified_short	11
шоң	unclassified_short	10
ни	unclassified_short	10
тжб	unclassified_short	10
ұта	unclassified_short	10
үз	unclassified_short	10
мтз	unclassified_short	10
шоб	unclassified_short	10
ұш	unclassified_short	10
чат	unclassified_short	10
ашм	unclassified_short	10
ку	unclassified_short	10
сац	unclassified_short	10
әм	unclassified_short	10
абд	unclassified_short	10
ні	unclassified_short	10
био	unclassified_short	10
ки	unclassified_short	10
таш	unclassified_short	10
ги	unclassified_short	10
баә	unclassified_short	10
діл	unclassified_short	10
іід	unclassified_short	10
ура	unclassified_short	10
әд	unclassified_short	10
ір	unclassified_short	10
аақ	unclassified_short	10
зия	unclassified_short	10
оля	unclassified_short	10
сқо	unclassified_short	10
ери	unclassified_short	9
бы	unclassified_short	9
вообще	discourse_filler	9
ех	unclassified_short	9
эй	unclassified_short	9
джи	unclassified_short	9
зк	unclassified_short	9
фуд	unclassified_short	9
хит	unclassified_short	9
ион	unclassified_short	9
өлу	unclassified_short	9
кан	unclassified_short	9
дэн	unclassified_short	9
іі	non_lexical_filler	9
эцқ	unclassified_short	9
мес	unclassified_short	9
бәр	unclassified_short	9
бит	unclassified_short	9
иа	unclassified_short	9
жұз	unclassified_short	9
кмм	unclassified_short	9
се	unclassified_short	9
уә	unclassified_short	9
әс	unclassified_short	9
маз	unclassified_short	9
иіі	unclassified_short	9
пб	unclassified_short	9
үп	unclassified_short	9
тыя	unclassified_short	9
эра	unclassified_short	9
рум	unclassified_short	9
нзм	unclassified_short	9
чип	unclassified_short	9
піл	unclassified_short	9
ао	unclassified_short	9
гпу	unclassified_short	9
кеу	unclassified_short	9
аяр	unclassified_short	9
квн	unclassified_short	9
хе	unclassified_short	9
апл	unclassified_short	9
роз	unclassified_short	9
тық	unclassified_short	9
йод	unclassified_short	8
тұт	unclassified_short	8
шри	unclassified_short	8
смм	unclassified_short	8
оф	unclassified_short	8
вы	unclassified_short	8
фут	unclassified_short	8
